DateTime,AddedIPs,RemovedIPs
1531607350,1,0
1531610222,1,0
1531614052,1,0
1531622492,1,0
1531632529,2,0
1531640697,1,0
1531642619,1,0
1531644595,1,0
1531652225,1,0
1531654263,2,0
1531657247,1,0
1531661106,1,0
1531677346,2,0
1531679336,1,0
1531681533,1,0
1531687277,1,0
1531691825,2,0
1531693730,1,0
1531696636,1,0
1531713436,1,0
1531718690,3,0
1531726624,1,0
1531734512,1,0
1531742713,2,0
1531744627,1,0
1531752282,1,0
1531764340,2,0
1531770028,1,0
1531780126,1,0
1531790920,1,0
1531795732,1,0
1531797628,1,0
1531824779,1,0
1531826706,1,0
1531830515,1,0
1531833644,1,0
1531839401,1,0
1531857901,1,0
1531861727,1,0
1531865563,0,8752
1531867464,1,0
1531869381,1,0
1531877072,0,3
1531882836,0,1
1531884759,0,1
1531886657,1,1
1531890503,2,0
1531894362,1,0
1531896267,2,1
1531903939,1,0
1531911692,1,2
1531913575,0,1
1531917373,2,2
1531919329,1,0
1531923166,1,0
1531925053,1,1
1531927006,0,1
1531936690,1,0
1531938511,1,1
1531942627,1,0
1531948355,1,1
1531950341,1,0
1531952176,0,1
1531954114,0,1
1531956054,2,1
1531957982,1,0
1531963701,1,0
1531973331,0,1
1531975487,0,1
1531977418,0,1
1531981268,0,1
1531983335,0,1
1531985294,2,0
1531991105,0,1
1531992994,1,0
1531994913,2,0
1531996867,1,1
1531998752,1,0
1532004524,0,3
1532010289,0,2
1532014100,2,0
1532016087,1,0
1532023810,0,1
1532025628,0,1
1532029454,0,1
1532033291,0,1
1532035478,1,1
1532037402,1,0
1532043071,0,2
1532045341,0,1
1532047228,0,1
1532049408,0,1
1532068819,1,0
1532072670,1,1
1532074585,0,1
1532078482,0,1
1532080358,0,1
1532082295,0,2
1532084197,0,1
1532091881,2,0
1532099559,0,1
1532101465,0,1
1532103387,0,1
1532107240,2,0
1532109162,1,0
1532111061,1,0
1532112996,2,0
1532114893,2,0
1532116883,1,0
1532118762,3,0
1532120674,1,0
1532122659,1,2
1532124509,1,0
1532128593,1,0
1532130518,2,0
1532132423,2,0
1532134344,2,0
1532138181,1,0
1532142273,1,0
1532144237,2,0
1532150200,1,0
1532154019,1,0
1532156047,0,1
1532157875,1,1
1532159830,1,0
1532161958,1,0
1532163914,2,0
1532165786,2,0
1532169637,4,0
1532171595,2,0
1532177305,0,1
1532179275,0,1
1532181147,1,0
1532183123,2,0
1532184982,1,0
1532188850,2,0
1532190836,2,0
1532192668,1,1
1532194637,1,1
1532196512,0,1
1532198473,0,3
1532200600,1,2
1532202738,3,1
1532204654,1,0
1532206598,1,3
1532208494,1,1
1532210431,1,1
1532212355,1,0
1532214525,0,1
1532216412,0,2
1532220266,1,2
1532222201,1,1
1532224093,1,2
1532226038,1,0
1532227962,1,0
1532229854,1,1
1532231795,2,2
1532235668,1,0
1532237806,1,1
1532241622,1,1
1532243565,1,0
1532245461,1,1
1532247394,2,1
1532249538,2,3
1532251474,0,1
1532253379,4,1
1532255444,0,3
1532257463,2,2
1532263209,1,0
1532268979,1,2
1532270916,1,2
1532274756,1,1
1532276674,3,2
1532278755,0,2
1532280741,2,1
1532284571,2,0
1532286515,0,1
1532288423,1,3
1532290392,0,1
1532294208,1,2
1532296113,2,1
1532298016,0,1
1532299948,1,0
1532302118,1,0
1532304028,3,0
1532305957,1,1
1532307873,5,1
1532309795,0,1
1532311742,2,1
1532313632,0,1
1532315562,1,0
1532317499,0,2
1532319392,1,1
1532321301,1,0
1532323221,0,2
1532325137,1,0
1532327113,0,1
1532329006,0,1
1532330897,1,0
1532332843,0,1
1532334754,0,3
1532336657,0,1
1532338583,0,2
1532341421,0,2
1532343373,1,1
1532345314,0,1
1532347268,2,0
1532349139,1,0
1532351074,0,1
1532355153,2,0
1532357065,2,2
1532359000,1,0
1532360900,2,1
1532362848,0,3
1532364747,2,0
1532366897,2,2
1532368865,1,0
1532370763,0,3
1532372656,2,0
1532374577,4,0
1532376686,2,1
1532379762,2,1
1532381771,2,1
1532383974,0,1
1532385903,1,1
1532387795,0,1
1532389711,1,0
1532391635,4,0
1532393600,0,5
1532399326,0,2
1532401246,0,1
1532405062,2,1
1532408920,0,1
1532412758,0,1
1532414657,0,1
1532416821,2,0
1532418765,2,0
1532420663,1,0
1532422889,3,0
1532428573,2,1
1532432413,0,1
1532434371,0,2
1532436257,1,0
1532438199,1,0
1532440119,0,1
1532442261,2,1
1532444171,2,2
1532446101,1,1
1532448087,1,2
1532449973,0,1
1532451865,1,2
1532453791,2,1
1532455709,0,2
1532457617,0,2
1532459667,1,1
1532461722,1,4
1532463610,1,3
1532465571,2,1
1532467456,0,1
1532469393,1,1
1532471298,1,0
1532473308,1,1
1532477089,1,2
1532478975,1,3
1532488583,1,0
1532490500,1,1
1532492428,1,0
1532494367,1,0
1532496264,1,0
1532502258,0,1
1532504182,0,5
1532506113,3,0
1532508036,0,3
1532509950,1,2
1532513783,0,1
